Date,WaterLevel
17/07/2018,27.91
17/07/2018,28.13
17/07/2018,27.88
17/07/2018,27.68
17/07/2018,27.58
17/07/2018,27.2
17/07/2018,27.18
18/07/2018,26.71
18/07/2018,26.71
18/07/2018,26.17
18/07/2018,25.79
18/07/2018,26.01
18/07/2018,25.93
18/07/2018,26.02
18/07/2018,26.11
18/07/2018,26.4
18/07/2018,26.29
18/07/2018,26.71
18/07/2018,26.79
18/07/2018,26.93
18/07/2018,26.94
18/07/2018,27.29
18/07/2018,27.03
18/07/2018,27.01
18/07/2018,27.08
18/07/2018,27.5
18/07/2018,27.5
18/07/2018,27.08
18/07/2018,26.83
18/07/2018,26.77
18/07/2018,26.58
19/07/2018,26.23
19/07/2018,25.74
19/07/2018,25.4
19/07/2018,25.43
19/07/2018,24.84
19/07/2018,24.77
19/07/2018,24.71
19/07/2018,24.51
19/07/2018,25.22
19/07/2018,25.74
19/07/2018,26.03
19/07/2018,26.21
19/07/2018,26.8
19/07/2018,26.5
19/07/2018,27.09
19/07/2018,27.04
19/07/2018,26.93
19/07/2018,27.05
19/07/2018,27.38
19/07/2018,27.23
19/07/2018,26.98
19/07/2018,26.64
19/07/2018,26.43
19/07/2018,26.28
20/07/2018,25.46
20/07/2018,24.95
20/07/2018,24.63
20/07/2018,24.69
20/07/2018,24.48
20/07/2018,24.51
20/07/2018,24.33
20/07/2018,24.63
20/07/2018,24.77
20/07/2018,25.23
20/07/2018,25.65
20/07/2018,26.13
20/07/2018,26.42
20/07/2018,26.38
20/07/2018,26.79
20/07/2018,26.83
20/07/2018,26.65
20/07/2018,26.73
20/07/2018,26.94
20/07/2018,26.82
20/07/2018,26.64
20/07/2018,26.28
20/07/2018,26.3
20/07/2018,25.96
21/07/2018,25.84
21/07/2018,25.25
21/07/2018,25.04
21/07/2018,24.87
21/07/2018,24.83
21/07/2018,24.82
21/07/2018,24.83
21/07/2018,24.98
21/07/2018,25.21
21/07/2018,25.57
21/07/2018,25.8
21/07/2018,26.13
21/07/2018,26.38
21/07/2018,26.62
21/07/2018,26.54
21/07/2018,26.65
21/07/2018,27
21/07/2018,27.19
21/07/2018,27.03
21/07/2018,26.98
21/07/2018,26.81
21/07/2018,26.57
21/07/2018,26.32
21/07/2018,26.1
22/07/2018,25.98
22/07/2018,25.81
22/07/2018,25.4
22/07/2018,25.52
22/07/2018,25.52
22/07/2018,25.34
22/07/2018,25.08
22/07/2018,25.01
22/07/2018,25.18
22/07/2018,25.36
22/07/2018,25.81
22/07/2018,25.97
22/07/2018,26.02
22/07/2018,26.33
22/07/2018,26.58
22/07/2018,26.7
22/07/2018,26.38
22/07/2018,26.69
22/07/2018,26.82
22/07/2018,26.92
22/07/2018,26.59
22/07/2018,26.46
22/07/2018,25.97
22/07/2018,25.84
23/07/2018,26.13
23/07/2018,25.59
23/07/2018,25.77
23/07/2018,25.76
23/07/2018,25.68
23/07/2018,25.85
23/07/2018,25.77
23/07/2018,25.59
23/07/2018,25.68
23/07/2018,25.83
23/07/2018,26.29
23/07/2018,26.16
23/07/2018,26.71
23/07/2018,26.68
23/07/2018,26.63
23/07/2018,26.38
23/07/2018,26.5
23/07/2018,27.09
23/07/2018,26.58
23/07/2018,26.61
23/07/2018,26.65
23/07/2018,26.63
23/07/2018,26.41
23/07/2018,26.24
24/07/2018,26.07
24/07/2018,25.9
24/07/2018,25.86
24/07/2018,25.51
24/07/2018,25.51
24/07/2018,25.48
24/07/2018,25.86
24/07/2018,25.56
24/07/2018,25.75
24/07/2018,26.05
24/07/2018,25.95
24/07/2018,26.33
24/07/2018,26.15
24/07/2018,26.41
24/07/2018,26.73
24/07/2018,26.63
24/07/2018,26.59
24/07/2018,26.64
24/07/2018,26.84
24/07/2018,26.77
24/07/2018,26.44
24/07/2018,26.43
24/07/2018,26.18
24/07/2018,25.77
25/07/2018,25.89
25/07/2018,25.72
25/07/2018,25.42
25/07/2018,25.57
25/07/2018,25.51
25/07/2018,25.35
25/07/2018,24.98
25/07/2018,25.36
25/07/2018,25.5
25/07/2018,25.34
25/07/2018,25.73
25/07/2018,25.9
25/07/2018,26.13
25/07/2018,26.44
25/07/2018,26.37
25/07/2018,26.37
25/07/2018,26.38
25/07/2018,26.49
25/07/2018,26.59
25/07/2018,26.68
25/07/2018,26.37
25/07/2018,26.28
25/07/2018,26.03
25/07/2018,25.95
26/07/2018,25.45
26/07/2018,25.35
26/07/2018,25.11
26/07/2018,25.28
26/07/2018,25.1
26/07/2018,24.86
26/07/2018,24.65
26/07/2018,24.58
26/07/2018,24.59
26/07/2018,25.19
26/07/2018,25.28
26/07/2018,25.73
26/07/2018,25.87
26/07/2018,25.94
26/07/2018,26.15
26/07/2018,26.26
26/07/2018,26.51
26/07/2018,26.29
26/07/2018,26.53
26/07/2018,26.38
26/07/2018,26.53
26/07/2018,26.5
26/07/2018,25.99
26/07/2018,25.87
27/07/2018,26.16
27/07/2018,25.57
27/07/2018,25.44
27/07/2018,25.33
27/07/2018,25.36
27/07/2018,25.45
27/07/2018,25.16
27/07/2018,24.95
27/07/2018,25.28
27/07/2018,25.4
27/07/2018,25.9
27/07/2018,26.03
27/07/2018,26.38
27/07/2018,26.58
27/07/2018,26.78
27/07/2018,26.66
27/07/2018,26.52
27/07/2018,26.72
27/07/2018,26.88
27/07/2018,26.95
27/07/2018,26.58
